Files,Clone method,Claude Opus 4.6,Deepseek v3.2,GPT-5.2,Gemini 3 Pro
helper.java,getDrawingView,1,1,1,0
drawapplet,init,1,1,1,0
FigureAttributeConstant,addConstant,0,1,1,0
drawapplet,createAttributeConstant,1,1,1,0
nothingapplet,createTools,0,0,1,0
CompositeFigureCreationTool,mouseDown,1,1,1,1
ChopDiamondConnector,chop,1,1,1,1
MiniMapDesktop,createLeftComponent,1,1,1,1
Animator,run,0,1,1,0
CTXWindowMenu,buildChildMenus,1,1,1,1
ColorMap,colorIndex,1,1,1,1
BouncingDrawing,animationStep,1,1,1,1
PertDependency,handleConnect,1,0,1,1
AutoscrollHelper,getAutoscrollInsets,1,1,1,1
Geom ,direction,1,0,1,1
JHDDropTargetListener,dragOver,1,1,1,1
StandardLayouter,layout,1,0,1,1
LineConnection,basicMoveBy,1,1,1,0
Triangle Figure,rotate,0,0,1,0
SplitPaneDesktop,removeFromDesktop,1,1,1,1
DNDHelper,createDragGestureRecognizer,0,0,0,0
DragNDropTool,setCursor,0,0,1,0
JHDDragSourceListener,dragEnter,0,0,0,1
ColorContentProducer,read,0,0,1,0
CustomToolBar,activateTools,0,0,1,1
FloatingTextArea,endOverlay,0,0,1,1
MiniMapView,paint,0,1,1,1
PolygonFigure,basicDisplayBox,1,1,1,1
SimpleLayouter,calculateLayout,1,1,1,1
DragTracker,mouseDrag,0,0,0,1
JPanelDesktop,createContents,1,1,1,1
MDI_DrawApplication,newView,1,1,1,1
PolygonTool,deactivate,0,0,0,0
SVGStorageFormat,store,1,1,1,1
TriangleRotationHandle,getOrigin,1,1,1,1
ElbowHandle,invokeStep,0,1,1,1
ScribbleTool,point,0,1,1,0
URLTool,beginEdit,1,0,1,0
NodeFigure,drawBorder,1,1,1,1
PertFigure,drawBorder,0,1,1,1
BufferedUpdateStrategy,draw,0,1,1,0
ChangeConnectionHandle,findConnectableFigure,1,1,1,1
FigureAndEnumerator,nextFigure,1,1,1,1
HandleAndEnumerator,nextHandle,1,1,1,1
LocatorConnector,displayBox,1,1,1,1
LocatorHandle,getCursor,1,1,1,1
StandardFigureSelection,getData,1,1,0,0
ToggleGridCommand,execute,0,0,0,0
CommandMenu,actionPerformed,1,1,1,1
PaletteLayout,layoutContainer,1,1,1,1
SerializationStorageFormat,restore,1,1,1,1
StandardVersionControlStrategy,assertCompatibleVersion,1,1,1,1
RoundRectangleGeometricAdapter,getShape,1,1,1,1
ScalingGraphics,scaledShape,0,0,1,0
ZoomDrawingView,setScale,0,1,1,0
CTXCommandMenu,checkEnabled,1,1,1,1
MySelectionTool,mouseDown,0,0,0,0
PatternPainter,drawPattern,1,1,1,1
SelectAreaTracker,drawXORRect,0,1,1,0
Bounds,intersectsBounds,1,0,1,0
drawapplet,setupAttributes,1,1,1,1
drawapplication,promptOpen,1,1,1,1
DNDHelper,createDropTarget,1,1,1,1
DragNDropTool,mouseUp,1,1,1,1
HTMLTextAreaFigure,draw,1,1,0,1
JHDDragSourceListener,dragDropEnd,1,1,1,1
JHDDropTargetListener,supportDropTargetDragEvent,1,1,0,1
AttributeFigureContentProducer,getContent,1,1,1,1
ColorContentProducer,getContent,1,1,1,1
ContentProducerRegistry,getSuperClassContentProducer,1,1,0,1
DisposableResourceManagerFactory,initManager,1,1,0,1
FigureDataContentProducer,getContent,1,1,1,1
HTMLContentProducer,getHTMLFontSizeEquivalent,1,1,1,1
ResourceContentProducer,getContent,1,1,0,1
URLContentProducer,getContent,1,1,1,1
AreaTracker,drawXORRect,0,1,1,1
DoubleBufferImage,getGraphics,1,1,1,1
MiniMapZoomableView,getInverseSubjectTransform,1,1,0,1
ScalingGraphics,clipRect,0,0,0,0
ZoomDrawingView,zoom,1,1,1,1
ZoomDrawingView,centralize,1,1,0,0
AutoscrollHelper,autoscroll,1,1,1,1
CTXCommandMenu,actionPerformed,1,1,0,1
CustomSelectionTool,mouseDown,1,1,1,1
FloatingTextArea,setBounds,1,1,1,1
MiniMapView,getViewRectangle,0,0,1,0
NestedCreationTool,mouseDown,0,1,1,0
StandardLayouter,calculateLayout,1,0,1,1
WindowMenu,buildChildMenus,0,1,1,0
PolygonTool,addPoint,1,1,0,0
AbstractLineDecoration,read,1,1,1,0
BorderTool,mouseDown,1,1,1,0
PolygonFigure,handles,1,1,1,0
DesktopEventService,getDrawingViews,1,1,1,1
ZoomCommand,zoomView,1,1,1,1
ZoomTool,mouseDown,0,0,0,0
TextAreaFigure,setFont,1,1,1,1
TextAreaTool,mouseUp,1,1,1,1
ImageFigure,imageUpdate,1,1,0,1
PolyLineFigure,displayBox,1,0,0,1
